Date,Open,High,Low,Close
4-Apr-13,"1,482.48","1,528.48","1,480.41","1,528.46"
3-Apr-13,"1,559.00","1,562.39","1,518.60","1,520.52"
2-Apr-13,"1,553.24","1,559.50","1,540.00","1,550.54"
1-Apr-13,"1,562.71","1,563.10","1,549.33","1,549.55"
29-Mar-13,"1,554.64","1,567.44","1,554.18","1,561.06"
28-Mar-13,"1,557.05","1,562.49","1,539.60","1,544.57"
27-Mar-13,"1,553.71","1,569.32","1,553.57","1,560.87"
26-Mar-13,"1,523.86","1,547.10","1,516.47","1,544.03"
25-Mar-13,"1,494.09","1,525.42","1,491.01","1,523.95"
22-Mar-13,"1,519.89","1,526.27","1,464.72","1,478.97"
21-Mar-13,"1,546.81","1,548.66","1,526.24","1,529.52"
20-Mar-13,"1,568.48","1,569.70","1,534.27","1,543.67"
19-Mar-13,"1,598.84","1,601.34","1,554.27","1,568.25"
18-Mar-13,"1,588.84","1,596.44","1,587.45","1,591.65"
15-Mar-13,"1,596.10","1,599.89","1,592.69","1,598.13"
14-Mar-13,"1,577.68","1,587.22","1,574.48","1,586.79"
13-Mar-13,"1,579.12","1,582.10","1,571.40","1,578.70"
12-Mar-13,"1,583.09","1,586.41","1,570.53","1,576.68"
11-Mar-13,"1,574.08","1,580.87","1,571.58","1,577.65"
8-Mar-13,"1,571.73","1,573.10","1,563.23","1,566.92"
7-Mar-13,"1,561.30","1,562.90","1,554.83","1,560.98"
6-Mar-13,"1,558.84","1,561.72","1,554.23","1,559.35"
5-Mar-13,"1,551.07","1,555.63","1,545.45","1,549.31"
4-Mar-13,"1,540.37","1,543.38","1,530.84","1,540.72"
1-Mar-13,"1,544.34","1,549.82","1,537.02","1,539.60"
28-Feb-13,"1,529.00","1,541.68","1,518.98","1,541.58"
27-Feb-13,"1,535.59","1,538.23","1,518.02","1,518.05"
26-Feb-13,"1,538.87","1,539.81","1,524.08","1,530.32"
22-Feb-13,"1,528.76","1,542.90","1,527.59","1,540.13"
21-Feb-13,"1,537.73","1,540.81","1,526.93","1,528.74"
20-Feb-13,"1,539.59","1,547.33","1,536.53","1,546.64"
19-Feb-13,"1,528.35","1,533.59","1,524.80","1,532.07"
